id,No_voie,type_de_voie,voie,surface_carrez,type_local,surface_reelle,nombre_pieces_principales,departement
18243,21.0,RUE,D ANGOULEME,"131,29",Appartement,140,5,78
18244,25.0,AV,LA DIVISION LECLERC,"23,08",Appartement,27,1,78
18245,7.0,RUE,DE L ORANGERIE,"34,47",Appartement,40,2,78
18246,6.0,RUE,EDOUARD LEFEBVRE,"101,49",Appartement,98,4,78
18247,6.0,ALL,DE NORMANDIE,"68,05",Appartement,65,3,78
18248,3.0,RUE,CLEMENT ADER,"62,75",Appartement,58,3,78
18249,1.0,RUE,DU QUATORZE JUILLET,"63,65",Appartement,64,3,78
18250,9.0,AV,DE SAINT CLOUD,"43,6",Appartement,47,1,78
18251,11.0,RUE,DE CARNAC,"63,14",Appartement,67,3,78
18252,42.0,RUE,DE VERSAILLES,"41,13",Appartement,30,3,78
18253,5.0,RUE,HENRI WELSCHINGER,"58,84",Appartement,58,3,78
18254,60.0,RUE,D ORS,"83,69",Maison,57,3,78
18255,1.0,RUE,DE PORT ROYAL,"77,71",Appartement,77,4,78
18256,1.0,PROM,DES ANGES,"66,7",Appartement,67,3,78
18257,1.0,AV,DE ROCQUENCOURT,"52,83",Appartement,52,2,78
18258,36.0,RUE,EDOUARD CHARTON,"81,36",Appartement,75,3,78
18259,1.0,ALL,RENE FONCK,"59,3",Appartement,59,3,78
18260,32.0,AV,P VAILLANT COUTURIER,"30,11",Appartement,51,3,78
18261,27.0,RUE,DU CHAMP D AVOINE,"94,37",Appartement,95,5,78
18262,102.0,RUE,YVES LE COZ,"80,23",Appartement,83,4,78
18263,20.0,RTE,DE TROUX,"61,48",Appartement,59,3,78
18264,32.0,RUE,DE BOURGOGNE,"93,34",Maison,94,4,78
18265,6.0,RUE,LUCIEN SAMPAIX,"20,5",Appartement,20,1,78
18266,86.0,AV,DE PARIS,"94,34",Appartement,93,5,78
18267,2.0,RUE,DIVISION LECLERC,"79,79",Appartement,79,4,78
18268,25.0,RUE,DE SATORY,"33,25",Appartement,47,2,78
18269,1.0,RUE,DE L ASSEMBLEE NATIONALE,"47,25",Appartement,48,2,78
18270,21.0,AV,DU CENTRE,"111,62",Appartement,101,5,78
18271,12.0,RUE,JEAN JAURES,"61,8",Appartement,59,3,78
18272,47.0,RUE,DE LA PAROISSE,"82,01",Appartement,70,3,78
18273,61.0,RUE,DE GLATIGNY,"53,29",Appartement,52,3,78
18274,89.0,AV,DE SAINT CLOUD,"121,68",Appartement,110,5,78
18275,29.0,RUE,DE L AUBEPINE,"142,14",Maison,143,5,78
18276,19.0,RUE,JEAN GABIN,"45,89",Appartement,46,2,78
18277,22.0,RUE,LOUIS HAUSSMANN,"78,63",Appartement,79,4,78
18278,4.0,RUE,DES PICOTEUSES,"163,19",Maison,162,8,78
18279,23.0,RUE,DE SATORY,32,Appartement,32,1,78
18280,2.0,RUE,MARGUERITE BERVOETS,"124,81",Appartement,128,6,78
18281,59.0,AV,DES ETATS UNIS,80,Appartement,76,5,78
18282,11.0,RUE,CARNOT,"157,83",Maison,125,4,78
18283,9.0,RES,DE LA SABOTTE,"53,05",Appartement,55,3,78
18284,17.0,RUE,DE VERDUN,"50,64",Appartement,51,2,78
18285,26.0,ALL,CLAUDE MONET,"52,53",Appartement,53,2,78
18286,1.0,RUE,FRANCOIS-R CHATEAUBRIAND,"56,51",Appartement,57,3,78
