Valeur fonciere,Code postal,Commune,Surface Carrez du 1er lot,Type local,Surface reelle bati,Nombre pieces principales
87000.0,2300.0,CHAUNY,80.87,Maison,82,4
142000.0,2000.0,LAON,165.11,Appartement,156,6
66000.0,2000.0,LAON,71.5,Appartement,72,4
71500.0,2000.0,LAON,82.54,Appartement,82,3
68100.0,2000.0,LAON,39.97,Appartement,41,2
58900.0,2800.0,LA FERE,146.68,Appartement,158,4
37900.0,2000.0,LAON,31.6,Appartement,40,2
70000.0,2300.0,CHAUNY,92.0,Maison,80,4
112900.0,2000.0,LAON,73.5,Appartement,65,3
39500.0,2000.0,LAON,23.82,Appartement,30,1
39900.0,2000.0,LAON,37.3,Appartement,40,2
78100.0,2000.0,LAON,49.1,Appartement,53,2
37015.0,2000.0,LAON,30.94,Appartement,31,1
93000.0,2000.0,LAON,65.66,Maison,67,3
35000.0,2000.0,LAON,27.19,Appartement,27,1
42500.0,2000.0,LAON,46.92,Appartement,53,2
88000.0,2000.0,LAON,78.3,Maison,82,4
80900.0,2000.0,LAON,88.5,Appartement,90,5
34000.0,2000.0,LAON,24.05,Appartement,27,1
84000.0,2000.0,URCEL,92.54,Maison,92,4
90000.0,2300.0,CHAUNY,60.05,Appartement,62,3
81500.0,2000.0,LAON,89.0,Appartement,90,5
27000.0,2000.0,LAON,23.86,Appartement,27,1
20000.0,2410.0,SAINT GOBAIN,25.0,Appartement,64,3
137000.0,2700.0,TERGNIER,148.41,Appartement,155,5
44500.0,2000.0,LAON,47.44,Appartement,48,2
75000.0,2000.0,LAON,80.14,Maison,90,4
44000.0,2000.0,LAON,53.42,Appartement,53,3
32500.0,2670.0,FOLEMBRAY,66.36,Appartement,67,3
35500.0,2000.0,LAON,28.13,Appartement,29,1
365000.0,2000.0,LAON,88.14,Maison,119,4
55000.0,2000.0,LAON,77.91,Appartement,76,3
29500.0,2000.0,LAON,26.4,Appartement,27,1
370000.0,2100.0,SAINT QUENTIN,119.4,Appartement,122,4
41000.0,2100.0,SAINT QUENTIN,33.49,Appartement,32,1
107000.0,2100.0,SAINT QUENTIN,96.4,Appartement,127,4
68700.0,2100.0,SAINT QUENTIN,53.22,Appartement,52,2
290000.0,2200.0,SOISSONS,142.98,Appartement,143,5
57000.0,2200.0,COURMELLES,50.16,Appartement,43,2
274000.0,2200.0,SOISSONS,108.49,Appartement,127,4
39000.0,2200.0,SOISSONS,29.16,Appartement,29,1
102345.0,2200.0,SOISSONS,79.27,Maison,81,4
63500.0,2200.0,SOISSONS,64.21,Appartement,67,4
181000.0,2200.0,SOISSONS,121.9,Appartement,122,5
125000.0,2290.0,VIC SUR AISNE,145.28,Maison,145,4
59000.0,2290.0,VIC SUR AISNE,49.99,Appartement,49,3
63000.0,2600.0,VILLERS-COTTERETS,58.67,Appartement,58,2
90000.0,2600.0,LARGNY SUR AUTOMNE,55.74,Maison,50,3
110000.0,2600.0,VILLERS-COTTERETS,77.56,Appartement,77,5
81000.0,2200.0,SOISSONS,49.33,Appartement,48,2
67000.0,2200.0,SOISSONS,47.02,Appartement,36,3
30000.0,2200.0,SOISSONS,37.18,Appartement,75,2
79180.0,2880.0,NANTEUIL LA FOSSE,106.0,Maison,109,6
55000.0,2370.0,VAILLY-SUR-AISNE,39.62,Maison,64,3
97000.0,2600.0,VILLERS-COTTERETS,81.62,Appartement,81,4
44000.0,2200.0,SOISSONS,41.42,Appartement,44,1
82500.0,2200.0,SOISSONS,62.15,Appartement,83,3
230000.0,2200.0,SOISSONS,59.81,Appartement,59,4
13000.0,2200.0,SOISSONS,20.45,Appartement,26,1
103090.0,2600.0,VILLERS-COTTERETS,89.56,Appartement,86,3
95000.0,2600.0,COEUVRES ET VALSERY,570.0,Maison,110,6
